Normals_0,Normals_1,Normals_2,Points_0,Points_1,Points_2
-0.583538,0.644298,-0.494331,-7.29312,8.0541,-6.17995
-0.595844,0.665553,-0.449454,-7.44829,8.32076,-5.61586
-0.628539,0.731454,-0.264411,-7.86165,9.14115,-3.29904
-0.749609,0.651571,-0.11637,-9.36475,8.14986,-1.45987
-0.723279,0.675909,-0.14147,-9.03864,8.45094,-1.7705
-0.749384,0.642373,-0.160566,-9.3655,8.03227,-2.00501
-0.739729,0.584514,-0.333382,-9.25164,7.30577,-4.15726
-0.763419,0.543914,-0.34835,-9.54602,6.7999,-4.34566
-0.769296,0.561432,-0.304922,-9.61925,7.01526,-3.80869
-0.774713,0.617637,-0.135442,-9.68121,7.7225,-1.69915
-0.651571,0.11637,0.749609,-8.14986,1.45987,9.36475
-0.626274,0.0913332,0.774235,-7.82965,1.14277,9.67681
-0.617637,0.135442,0.774713,-7.7225,1.69915,9.68121
-0.0913347,0.774233,0.626276,-1.14277,9.67681,7.82965
-0.135442,0.774714,0.617636,-1.69916,9.68121,7.7225
-0.160565,0.749379,0.642378,-2.00502,9.3655,8.03227
-0.21774,0.632578,0.743259,-2.72309,7.90545,9.29186
-0.264415,0.628541,0.731452,-3.29905,7.86165,9.14115
-0.291296,0.592105,0.751371,-3.64109,7.40191,9.3917
-0.346167,0.437046,0.830156,-4.32744,5.46175,10.3775
-0.392469,0.42837,0.813921,-4.90662,5.35424,10.1738
-0.414639,0.385417,0.824335,-5.18496,4.81017,10.3067
-0.44701,0.228894,0.864748,-5.58617,2.86475,10.8091
-0.488028,0.219531,0.844769,-6.09724,2.74414,10.5614
-0.642373,0.160566,0.749384,-8.03227,2.00501,9.3655
-0.763819,0.2438,0.597613,-9.54595,3.04512,7.47342
-0.743259,0.21774,0.632578,-9.29186,2.72307,7.90545
-0.731451,0.264413,0.628542,-9.14115,3.29904,7.86165
-0.333388,0.739726,0.584515,-4.15726,9.25164,7.30577
-0.304925,0.769293,0.561434,-3.80869,9.61925,7.01526
-0.348353,0.763417,0.543916,-4.34567,9.54602,6.79989
-0.378179,0.732316,0.566298,-4.7229,9.15705,7.07761
-0.476115,0.554853,0.682241,-5.95072,6.93542,8.5287
-0.449453,0.595846,0.665552,-5.61586,7.44827,8.32077
-0.494329,0.583538,0.644299,-6.17996,7.29312,8.0541
-0.520158,0.541747,0.660262,-6.50139,6.77304,8.25275
-0.584513,0.333383,0.73973,-7.30576,4.15726,9.25165
-0.56629,0.378178,0.732323,-7.07761,4.72289,9.15706
-0.606555,0.3628,0.707437,-7.58256,4.53001,8.84499
-0.751367,0.291296,0.59211,-9.3917,3.64109,7.40191
-0.841405,0.369356,0.394478,-10.5185,4.61882,4.92711
-0.830156,0.346167,0.437046,-10.3775,4.32744,5.46175
-0.81392,0.392468,0.428372,-10.1738,4.90662,5.35424
-0.554853,0.68224,0.476117,-6.93542,8.5287,5.95072
-0.524872,0.718227,0.456792,-6.5616,8.97746,5.70969
-0.566474,0.702338,0.431077,-7.08032,8.77932,5.38911
-0.595846,0.665551,0.449455,-7.44829,8.32076,5.61586
-0.682241,0.476115,0.554853,-8.5287,5.95072,6.93542
-0.66026,0.520156,0.541752,-8.25275,6.50139,6.77304
-0.697477,0.50111,0.512265,-8.72039,6.26246,6.40206
-0.824334,0.41464,0.385419,-10.3067,5.18496,4.81017
-0.865978,0.463268,0.188322,-10.8246,5.78774,2.36212
-0.864747,0.447012,0.228894,-10.8091,5.58617,2.86475
-0.844769,0.488028,0.219531,-10.5614,6.09724,2.74414
-0.739722,0.584523,0.333384,-9.25165,7.30576,4.15726
-0.714099,0.623714,0.317874,-8.93136,7.79445,3.96577
-0.744632,0.601339,0.289679,-9.30815,7.51865,3.6164
-0.845184,0.503609,0.179004,-10.5632,6.29546,2.24424
-0.188314,0.865979,0.463269,-2.36212,10.8246,5.78774
-0.14777,0.865575,0.47848,-1.84905,10.8196,5.9806
-0.154158,0.885322,0.438681,-1.9321,11.0682,5.47826
-0.194645,0.885023,0.422904,-2.43509,11.0615,5.28814
-0.394481,0.841402,0.36936,-4.92711,10.5185,4.61882
-0.352351,0.850301,0.390943,-4.40602,10.6285,4.88584
-0.359206,0.866719,0.346078,-4.48399,10.8345,4.33097
-0.206027,0.945758,-0.251186,-2.56932,11.821,-3.1485
-0.203725,0.933081,-0.296405,-2.54616,11.662,-3.70996
-0.245774,0.929375,-0.275421,-3.06566,11.6171,-3.44879
-0.249134,0.941158,-0.228374,-3.11179,11.7639,-2.85966
-0.215497,0.976505,1.71748e-07,-2.69305,12.2064,-7.47426e-16
-0.214944,0.97526,-0.0516502,-2.68459,12.1912,-0.6466
-0.25807,0.965781,-0.0258298,-3.22634,12.0722,-0.321429
-0.258071,0.965781,0.0258307,-3.22634,12.0722,0.321429
-0.206025,0.945759,0.251185,-2.56932,11.821,3.1485
-0.20883,0.956553,0.20346,-2.60682,11.9568,2.54759
-0.249134,0.941158,0.228374,-3.11179,11.7639,2.85967
-0.401842,0.856846,0.323013,-5.02225,10.711,4.03746
-0.597613,0.763819,0.2438,-7.47342,9.54595,3.04512
-0.560057,0.783179,0.270122,-7.00196,9.7892,3.37554
-0.565555,0.794335,0.221762,-7.06992,9.92886,2.77194
-0.421639,0.897772,-0.127376,-5.27102,11.2217,-1.59327
-0.418191,0.890862,-0.177433,-5.22779,11.1356,-2.21772
-0.459773,0.874976,-0.151745,-5.74651,10.9375,-1.89714
-0.462986,0.880521,-0.101621,-5.78911,11.0054,-1.2721
-0.421638,0.897774,0.127375,-5.27102,11.2217,1.59327
-0.424011,0.902402,0.0767148,-5.29912,11.2804,0.959627
-0.462986,0.880521,0.101621,-5.78911,11.0054,1.2721
-0.602313,0.773881,0.195773,-7.53546,9.66895,2.44506
-0.749606,0.651575,0.116368,-9.36475,8.14986,1.45987
-0.723279,0.675909,0.14147,-9.03864,8.45094,1.7705
-0.724489,0.682655,0.0953795,-9.05644,8.53234,1.19591
-0.612394,0.790553,-1.49163e-06,-7.66371,9.8751,-6.04675e-16
-0.611513,0.789696,-0.0493216,-7.65135,9.86555,-0.614671
-0.643411,0.765124,-0.0246555,-8.04564,9.56142,-0.311105
-0.749891,0.657797,0.0704693,-9.36907,8.22755,0.881961
-0.937899,-0.346909,-1.63751e-06,-11.7269,-4.32786,2.65005e-16
-0.922012,-0.387161,-1.78486e-06,-11.5259,-4.83782,2.96231e-16
-0.928894,-0.368158,0.0401939,-11.6133,-4.59631,0.505044
-0.651575,-0.116374,0.749604,-8.14986,-1.45987,9.36475
-0.626274,-0.0913332,0.774235,-7.82965,-1.14277,9.67681
-0.657798,-0.0704692,0.749891,-8.22755,-0.881961,9.36907
-0.682655,-0.0953867,0.724489,-8.53234,-1.19591,9.05644
-0.763821,-0.243801,0.59761,-9.54595,-3.04512,7.47342
-0.74326,-0.217739,0.632578,-9.29186,-2.72307,7.90545
-0.773881,-0.195773,0.602313,-9.66895,-2.44506,7.53546
-0.794348,-0.221789,0.565527,-9.92886,-2.77194,7.06992
-0.841405,-0.369358,0.394478,-10.5185,-4.61882,4.92711
-0.830157,-0.346166,0.437045,-10.3775,-4.32744,5.46175
-0.856847,-0.323015,0.401839,-10.711,-4.03746,5.02225
-0.866719,-0.346078,0.359205,-10.8345,-4.33097,4.48397
-0.865979,-0.463269,0.188315,-10.8246,-5.78774,2.36212
-0.864748,-0.44701,0.228894,-10.8091,-5.58619,2.86475
-0.885023,-0.422904,0.194645,-11.0615,-5.28814,2.43509
-0.944005,-0.327458,0.0403273,-11.8006,-4.09222,0.500049
-0.992085,-0.125569,1.55283e-10,-12.4005,-1.57371,9.63619e-17
-0.984895,-0.173151,-3.1056e-10,-12.3115,-2.16276,1.32431e-16
-0.987741,-0.150238,0.0423887,-12.3456,-1.88592,0.527797
-0.790551,-3.10562e-10,0.612396,-9.8751,4.69267e-16,7.66371
-0.765124,0.0246549,0.643411,-9.56142,0.311105,8.04564
-0.789695,0.0493227,0.611514,-9.86555,0.614671,7.65135
-0.815413,0.0249047,0.578343,-10.1894,0.312075,7.23387
-0.897772,-0.127375,0.421641,-11.2217,-1.59327,5.27102
-0.880521,-0.101623,0.462986,-11.0054,-1.2721,5.7891
