"Points:0","Points:1","Points:2"
53274,54515,18627
53398,55165,17704
53594,54948,17582
53435,54920,17896
53231,55177,17988
53251,54951,18189
53213,55397,17790
53345,55420,17534
53198,55952,17239
53285,55655,17395
53415,56649,16182
53509,56232,16422
53287,56535,16499
53243,56312,16794
53135,56222,17071
53296,56033,16987
53419,56919,15939
53074,56646,16743
53653,57448,15207
53624,57185,15428
53469,58027,15086
53666,58053,14822
53640,57772,15018
53451,57757,15275
53860,58057,14579
53678,58282,14689
53491,58338,14885
53673,58893,14423
53843,58470,14406
53575,58598,14662
53306,58699,14924
53450,58884,14676
68270,91200,57859
68310,91237,57652
68125,91267,57810
53637,59216,14330
53449,59176,14549
53471,59483,14398
53494,59865,14212
53266,59758,14492
53427,60203,14134
53511,60660,13848
53513,60386,13967
53337,61223,13772
53582,61341,13472
53527,60984,13690
53703,61687,13170
53420,61720,13448
53503,61942,13234
53430,62266,13096
53432,62790,12622
53446,62535,12856
53252,62772,12880
53371,62999,12458
53594,62836,12342
53219,63003,12672
53603,63542,11234
53665,63343,11481
53433,63544,11487
53128,63930,11252
53359,63744,11239
53175,63749,11515
39524,84583,37081
39360,84480,37424
39486,84879,37440
67546,91548,57385
67492,91522,57592
67590,91486,57627
53909,52667,21034
53984,52548,21422
53724,52741,21377
53814,52633,21638
54036,52456,21824
53754,52625,21952
53933,52475,22182
54252,52281,22116
54158,52297,22532
67789,91498,57280
67631,91574,57122
53784,52524,22560
53918,52409,22828
53656,52560,22870
54113,52231,23379
53855,52405,23153
54159,52254,22940
53504,52528,23673
54011,53017,19525
54152,52834,19661
53943,52970,19813
54097,52790,19936
54103,52695,20247
53904,52904,20105
54008,52683,20606
53876,52846,20381
53722,52889,20699
53918,53457,18855
54013,53253,19018
53806,53426,19145
53909,53209,19332
54122,53046,19199
53530,53966,18852
53809,53723,18653
54142,53933,17703
53851,54072,18088
53856,54341,17764
53692,54003,18488
53618,54248,18314
53641,54405,18087
53626,54675,17815
53846,54675,17417
53725,55011,17283
54040,54868,16866
53841,55081,17003
53924,55146,16788
53657,55251,17155
53906,55362,16601
53762,55333,16884
53693,55614,16721
53870,55844,16187
53873,55625,16397
53684,55904,16446
53679,56318,16056
53761,56884,15452
53909,57279,14964
53813,57099,15219
53824,57786,14769
54068,57755,14469
53991,57468,14734
53798,57565,14935
39182,81285,35360
39190,81588,35592
39318,81661,35294
53947,58767,14169
53845,59105,14150
54035,58957,14000
54008,59217,13933
53754,59496,14096
53814,59850,13889
53650,60129,13940
54004,59563,13806
54032,59859,13657
53702,60372,13782
53869,60117,13720
54071,60137,13500
53908,60401,13559
54144,60385,13320
53742,60658,13616
53778,61008,13427
53989,60661,13362
53986,61535,12959
53861,61800,12936
54073,62300,12302
54078,62033,12533
53855,62299,12566
53863,62027,12778
53857,62553,12312
53656,62539,12587
54065,62558,12037
53849,62751,12086
53648,62296,12817
53892,63140,11482
54096,62977,11455
53966,62871,11769
38710,83557,38410
38806,83437,38084
38664,83255,38303
38720,80123,35740
38776,79982,35461
38667,79776,35623
64233,92294,56557
64448,92246,56606
64437,92324,56391
98357,79067,52751
98103,79169,52589
53677,62988,12015
54044,63273,11092
53856,63323,11247
53845,63500,10989
53698,63167,11719
54402,52166,22378
54489,52085,22734
54401,52097,23136
54311,52624,19889
54392,52476,20222
54245,52527,20496
54478,52341,20576
54207,52492,20814
54493,52216,21360
54218,52373,21530
54196,52437,21183
54363,52248,21781
54262,53041,18883
54453,52818,18935
54337,52841,19173
61853,93159,55939
61610,93275,55872
61633,93174,56111
54391,52680,19483
54537,52656,19157
54205,52872,19420
54175,53499,18227
54310,53196,18458
54036,53501,18529
61890,93068,56135
54101,53290,18757
98519,79120,57442
54367,53960,17240
54371,53720,17517
54306,53566,17849
54085,53751,18043
53936,53767,18325
54476,54057,16917
54270,54290,17053
54105,54295,17357
54230,54571,16827
54061,54584,17126
54126,55043,16533
54335,54821,16372
54210,54779,16645
98319,78501,57455
97980,78638,57515
54071,55372,16303
54229,55702,15708
54032,55800,15955
54085,55986,15691
53875,56051,15981
54012,55624,16158
54299,55927,15382
54128,56221,15414
53934,56554,15446
53897,56294,15722
54158,56805,14923
54177,56468,15139
53974,56803,15196
53635,56679,15805
54367,57041,14467
54518,56729,14432
54308,56840,14677
53999,57007,15016
54300,57591,14254
54386,57293,14294
54207,57375,14495
54137,57133,14738
54510,57389,14072
54222,57861,14222
61377,93280,56092
54077,58095,14292
54126,58430,14096
54317,58110,13996
54396,59056,13561
54375,58735,13697
54196,58975,13815
54226,59291,13668
54428,59380,13411
54238,59632,13527
54445,59673,13284
54231,59910,13423
54411,59975,13205
54255,60152,13300
54375,60292,13116
54238,60633,13118
54299,60925,12932
54048,60968,13169
54144,61212,12960
53883,61299,13184
54277,62026,12317
54303,61740,12500
98209,78852,52572
54072,61759,12734
54350,62257,12024
97981,78963,52437
61375,93187,56348
61699,93063,56334
39633,84917,37090
39783,85187,36944
39705,84812,36804
54076,63115,11283
54258,63129,11059
54283,62945,11278
54254,62781,11525
54280,62563,11767
54129,63338,10908
59956,93813,56302
59772,93816,56545
59867,93785,56533
