"Points:0","Points:1","Points:2"
-2.3602,8.1044,-6.2823
-2.3411,8.0821,-6.2954
-2.3413,8.0913,-6.2524
-2.3635,8.1164,-6.2451
-2.3722,8.1215,-6.2582
-2.3825,8.127,-6.2737
-2.384,8.1385,-6.2349
-2.402,8.1466,-6.261
-2.4032,8.1577,-6.2256
-2.4199,8.1706,-6.2268
-2.4182,8.1589,-6.2616
-2.4006,8.1313,-6.3178
-2.389,8.1159,-6.3475
-2.4094,8.1299,-6.3534
-2.4212,8.145,-6.3233
-2.4312,8.1442,-6.3553
-2.4458,8.1685,-6.2948
-2.4709,8.1914,-6.2676
-2.4599,8.1951,-6.2358
-2.4359,8.1713,-6.2623
-2.4495,8.1988,-6.2052
-2.4355,8.1963,-6.1843
-2.4196,8.1832,-6.1875
-2.4161,8.1891,-6.1624
-2.4283,8.2097,-6.1336
-2.407,8.2003,-6.1116
-2.4177,8.2207,-6.0845
